Page Name,Page URL,Page Type,Site Domain,Load Time,Performance Grade,Mobile Friendly,CTA Presence,CTA Position,Form Length,Content Clarity (1-5)
Support Tickets v2,https://www.graphura.shop/support-tickets-2,Interview Prep,Shop,278 ms,96.0,Yes,No,None,0,2
Coupons v2,https://www.graphura.shop/coupons-2,Interview Prep,Shop,1.24 s,94.0,Yes,No,None,0,3
Offers v2,https://www.graphura.shop/offers-2,Resume builder,Shop,1.47 s,93.0,Yes,No,None,0,2
Membership v2,https://www.graphura.shop/membership-2,Interview Prep,Shop,1.23 s,95.0,Yes,Yes,Middle,0,2
Flash Sale v2,https://www.graphura.shop/flash-sale-2,Interview Prep,Shop,504 ms,93.0,Yes,Yes,Top,0,2
New Arrivals v2,https://www.graphura.shop/new-arrivals-2,Resume builder,Shop,535 ms,96.0,Yes,No,None,0,3
Mock Interview v2,https://www.graphura.shop/mock-interview-2,Interview Prep,Shop,1.48 s,95.0,Yes,No,None,0,2
Practice Sets v2,https://www.graphura.shop/practice-sets-2,Interview Prep,Shop,142 ms,94.0,Yes,No,None,0,2
Premium Plans v2,https://www.graphura.shop/premium-plans-2,Resume builder,Shop,593 ms,95.0,Yes,No,None,0,2
Free Trial v2,https://www.graphura.shop/free-trial-2,Interview Prep,Shop,475 ms,95.0,Yes,No,None,0,3
Upgrade Plan v2,https://www.graphura.shop/upgrade-plan-2,Interview Prep,Shop,1.34 s,92.0,Yes,No,None,0,3
Invoice v2,https://www.graphura.shop/invoice-2,Resume builder,Shop,568 ms,96.0,Yes,No,None,0,3
Transaction History v2,https://www.graphura.shop/transaction-history-2,Interview Prep,Shop,608 ms,94.0,Yes,No,None,0,2
Redeem Code v2,https://www.graphura.shop/redeem-code-2,Interview Prep,Shop,1.22 s,95.0,Yes,No,None,0,2
Referral Program v2,https://www.graphura.shop/referral-program-2,Resume builder,Shop,697 ms,93.0,Yes,No,None,0,2
Contact Support v2,https://www.graphura.shop/contact-support-2,Interview Prep,Shop,859 ms,96.0,Yes,No,None,0,2
Checkout v3,https://www.graphura.shop/checkout-3,Interview Prep,Shop,552 ms,94.0,Yes,No,None,0,3
Cart v3,https://www.graphura.shop/cart-3,Resume builder,Shop,940 ms,92.0,Yes,No,None,0,3
My Account v3,https://www.graphura.shop/my-account-3,Interview Prep,Shop,586 ms,96.0,Yes,Yes,Middle,0,3
Orders v3,https://www.graphura.shop/orders-3,Interview Prep,Shop,477 ms,92.0,Yes,No,None,0,2
Wishlist v3,https://www.graphura.shop/wishlist-3,Resume builder,Shop,196 ms,93.0,Yes,No,None,0,2
Product Detail v3,https://www.graphura.shop/product-detail-3,Interview Prep,Shop,813 ms,96.0,Yes,No,None,0,2
Category v3,https://www.graphura.shop/category-3,Interview Prep,Shop,1.43 s,96.0,Yes,No,None,0,3
Search Results v3,https://www.graphura.shop/search-results-3,Resume builder,Shop,139 ms,94.0,Yes,Yes,Middle,0,2
Payments v3,https://www.graphura.shop/payments-3,Interview Prep,Shop,601 ms,95.0,Yes,No,None,0,2
Subscriptions v3,https://www.graphura.shop/subscriptions-3,Interview Prep,Shop,943 ms,94.0,Yes,No,None,0,2
Billing v3,https://www.graphura.shop/billing-3,Resume builder,Shop,615 ms,93.0,Yes,No,None,0,2
Profile Settings v3,https://www.graphura.shop/profile-settings-3,Interview Prep,Shop,837 ms,93.0,Yes,No,None,0,2
Notifications v3,https://www.graphura.shop/notifications-3,Interview Prep,Shop,442 ms,95.0,Yes,No,None,0,2
Support Tickets v3,https://www.graphura.shop/support-tickets-3,Resume builder,Shop,794 ms,95.0,Yes,No,None,0,2
Coupons v3,https://www.graphura.shop/coupons-3,Interview Prep,Shop,459 ms,95.0,Yes,No,None,0,3
Offers v3,https://www.graphura.shop/offers-3,Interview Prep,Shop,393 ms,95.0,Yes,No,None,0,3
Membership v3,https://www.graphura.shop/membership-3,Resume builder,Shop,372 ms,92.0,Yes,No,None,0,2
Flash Sale v3,https://www.graphura.shop/flash-sale-3,Interview Prep,Shop,727 ms,94.0,Yes,No,None,0,3
New Arrivals v3,https://www.graphura.shop/new-arrivals-3,Interview Prep,Shop,1.50 s,92.0,Yes,No,None,0,2
Mock Interview v3,https://www.graphura.shop/mock-interview-3,Resume builder,Shop,1.03 s,94.0,Yes,No,None,0,2
Practice Sets v3,https://www.graphura.shop/practice-sets-3,Interview Prep,Shop,1.35 s,94.0,Yes,No,None,0,2
Premium Plans v3,https://www.graphura.shop/premium-plans-3,Interview Prep,Shop,1.21 s,96.0,Yes,No,None,0,2
Free Trial v3,https://www.graphura.shop/free-trial-3,Resume builder,Shop,1.48 s,93.0,Yes,No,None,0,2
Upgrade Plan v3,https://www.graphura.shop/upgrade-plan-3,Interview Prep,Shop,1.20 s,92.0,Yes,Yes,Middle,0,2
Invoice v3,https://www.graphura.shop/invoice-3,Interview Prep,Shop,749 ms,93.0,Yes,No,None,0,2
Transaction History v3,https://www.graphura.shop/transaction-history-3,Resume builder,Shop,953 ms,95.0,Yes,No,None,0,2
Redeem Code v3,https://www.graphura.shop/redeem-code-3,Interview Prep,Shop,651 ms,94.0,Yes,No,None,0,3
Referral Program v3,https://www.graphura.shop/referral-program-3,Interview Prep,Shop,831 ms,92.0,Yes,No,None,0,2
Contact Support v3,https://www.graphura.shop/contact-support-3,Resume builder,Shop,267 ms,92.0,Yes,No,None,0,2
Checkout v4,https://www.graphura.shop/checkout-4,Interview Prep,Shop,724 ms,95.0,Yes,No,None,0,2
